Species,Genus,spp,Clade,Columbia,females at Burke,males at Burke,undetermined at Burke,females elsewhere,males elsewhere,females (all),males (all),1 individual (Burke),at least 1 per sex  (Burke),at least 1 per sex (All),at least 3 per sex  (Burke),at least 3 per sex  (All),at least 5 per sex  (Burke),at least 5 per sex  (All)
Archilochus alexandri,Archilochus,alexandri,Bees,,3,8,2,5,15,8,23,x,x,x,x,x,,x
Archilochus colubris,Archilochus,colubris,Bees,,4,6,4,37,63,41,69,x,x,x,x,x,,x
Atthis ellioti,Atthis,ellioti,Bees,,,,,,4,0,4,,,,,,,
Calliphlox bryantae,Calliphlox,bryantae,Bees,,,,,2,7,2,7,,,x,,,,
Calliphlox mitchellii,Calliphlox,mitchellii,Bees,,,,,2,2,2,2,,,x,,,,
Calliphlox lyrura,Calliphlox,lyrura,Bees,,,,,2,4,2,4,,,x,,,,
Calothorax lucifer,Calothorax,lucifer,Bees,,,,,3,4,3,4,,,x,,x,,
Calypte anna,Calypte,anna,Bees,,8,37,2,7,7,15,44,x,x,x,x,x,x,x
Calypte costae,Calypte,costae,Bees,,,2,,,1,0,3,x,,,,,,
Chaetocercus heliodor ,Chaetocercus,heliodor,Bees,,,,,,1,0,1,,,,,,,
Chaetocercus mulsant,Chaetocercus,mulsant,Bees,,,,,1,,1,0,,,,,,,
Doricha enicura,Doricha,enicura,Bees,,,,,1,3,1,3,,,x,,,,
Myrmia micrura,Myrmia,micrura,Bees,,,,,6,6,6,6,,,x,,x,,x
Myrtis fanny,Myrtis,fanny,Bees,,,,,4,6,4,6,,,x,,x,,
Rhodopis vesper,Rhodopis,vesper,Bees,,,,,3,6,3,6,,,x,,x,,
Selasphorus calliope,Selasphorus,calliope,Bees,,,,,,3,0,3,,,,,,,
Selasphorus flammula,Selasphorus,flammula,Bees,,,,,2,1,2,1,,,x,,,,
Selasphorus platycercus,Selasphorus,platycercus,Bees,,5,5,1,,18,5,23,x,x,x,x,x,x,x
Selasphorus rufus,Selasphorus,rufus,Bees,,31,37,12,4,4,35,41,x,x,x,x,x,x,x
Selasphorus sasin,Selasphorus,sasin,Bees,,1,,,2,1,3,1,x,,x,,,,
Selasphorus scintilla,Selasphorus,scintilla,Bees,,,,,,3,0,3,,,,,,,
Stellula calliope,Stellula,calliope,Bees,,6,12,,2,1,8,13,x,x,x,x,x,x,x
Thaumastura cora,Thaumastura,cora,Bees,,,,,1,9,1,9,,,x,,,,
Tilmatura dupontii,Tilmatura,dupontii,Bees,,,,,,2,0,2,,,,,,,
Aglaeactis cupripennis,Aglaeactis,cupripennis,Brilliants,x,,,,,,0,0,,,,,,,
Boissonneaua flavescens,Boissonneaua,flavescens,Brilliants,x,,,,,,0,0,,,,,,,
Coeligena bonapartei,Coeligena,bonapartei,Brilliants,x,,,,,,0,0,,,,,,,
Coeligena coeligena,Coeligena,coeligena,Brilliants,x,,,,,,0,0,,,,,,,
Coeligena helianthea,Coeligena,helianthea,Brilliants,x,,,,,,0,0,,,,,,,
Coeligena torquata,Coeligena,torquata,Brilliants,x,,,,,,0,0,,,,,,,
Coeligena wilsoni,Coeligena,wilsoni,Brilliants,x,,,,,,0,0,,,,,,,
Eriocnemis cupreoventris,Eriocnemis,cupreoventris,Brilliants,x,,,,,,0,0,,,,,,,
Eriocnemis glaucopoides,Eriocnemis,glaucopoides,Brilliants,,1,,,,,1,0,x,,,,,,
Eriocnemis vestita,Eriocnemis,vestita,Brilliants,x,,,,,,0,0,,,,,,,
Heliodoxa leadbeateri,Heliodoxa,leadbeateri,Brilliants,x,,,,,,0,0,,,,,,,
Heliodoxa rubinoides,Heliodoxa,rubinoides,Brilliants,x,,,,,,0,0,,,,,,,
Lafresnaya lafresnayi,Lafresnaya,lafresnayi,Brilliants,x,,,,,,0,0,,,,,,,
Ocreatus underwoodii,Ocreatus,underwoodii,Brilliants,,,1,,,,0,1,x,,,,,,
Adelomyia melanogenys,Adelomyia,melanogenys,Coquettes,x,,1,,,,0,1,x,,,,,,
Aglaiocercus kingi,Aglaiocercus,kingii,Coquettes,,,1,,,,0,1,x,,,,,,
Chalcostigma heteropogon,Chalcostigma,heteropogon,Coquettes,x,,,,,,0,0,,,,,,,
Heliangelus amethysticollis,Heliangelus,amethysticollis,Coquettes,x,,,,,,0,0,,,,,,,
Lesbia victoriae,Lesbia,victoriae,Coquettes,x,,,,,,0,0,,,,,,,
Metallura tyrianthina,Metallura,tyrianthina,Coquettes,x,,,,,,0,0,,,,,,,
Oxypogon guerinii,Oxypogon,guerinii,Coquettes,x,,,,,,0,0,,,,,,,
Ramphomicron microrhynchum,Ramphomicron,microrhynchum,Coquettes,x,,,,,,0,0,,,,,,,
Amazilia amabilis,Amazilia,amabilis,Emeralds,x,,,,,,0,0,,,,,,,
Amazilia beryllina,Amazilia,beryllina,Emeralds,,5,9,1,,,5,9,x,x,x,x,x,x,x
Amazilia candida,Amazilia,candida,Emeralds,,1,,,1,1,2,1,x,,x,,,,
Amazilia castaneiventris,Amazilia,castaneiventris,Emeralds,x,,,,,,0,0,,,,,,,
Amazilia chionogaster,Amazilia,chionogaster,Emeralds,,1,2,,,,1,2,x,x,x,,,,
Amazilia cyanocephala,Amazilia,cyanocephala,Emeralds,,,,,1,2,1,2,,,x,,,,
Amazilia cyanura,Amazilia,cyanura,Emeralds,,,4,,,,0,4,x,,,,,,
Amazilia rutila,Amazilia,rutila,Emeralds,,6,9,1,,,6,9,x,x,x,x,x,x,x
Amazilia saucerrottei,Amazilia,saucerottei,Emeralds,,3,8,,,,3,8,x,x,x,x,x,,
Amazilia tzacatl,Amazilia,tzacatl,Emeralds,x,4,11,1,1,3,5,14,x,x,x,x,x,,x
Amazilia violiceps,Amazilia,violiceps,Emeralds,,6,4,,,,6,4,x,x,x,x,x,,
Amazilia yucatanensis,Amazilia,yucatanensis,Emeralds,,1,,,,1,1,1,x,,x,,,,
Campylopterus curvipennis,Campylopterus,curvipennis,Emeralds,,,,,3,1,3,1,,,x,,,,
Campylopterus hemileucurus,Campylopterus,hemileucurus,Emeralds,,4,1,,,,4,1,x,x,x,,,,
Chalybura buffonii,Chalybura,buffonii,Emeralds,x,,,,,,0,0,,,,,,,
Chalybura urochrysia ,Chalybura,urochrysia,Emeralds,,,2,,,,0,2,x,,,,,,
Chlorestes notata,Chlorestes,notata,Emeralds,x,,,,,,0,0,,,,,,,
Chlorostilbon canivetii,Chlorostilbon,canivetii,Emeralds,,,1,,,1,0,2,x,,,,,,
Chlorostilbon lucidus ,Chlorostilbon,lucidus,Emeralds,,,,,,1,0,1,,,,,,,
Chlorostilbon poortmani,Chlorostilbon,poortmani,Emeralds,x,,,,,,0,0,,,,,,,
Chlorostilbon ricordii,Chlorostilbon,ricordii,Emeralds,,,,,,1,0,1,,,,,,,
Chlorostilbon aureoventris,Chlorostilbon,aureoventris,Emeralds,,1,2,,,,1,2,x,x,x,,,,
Cynanthus latirostris,Cynanthus,latirostris,Emeralds,,6,7,,,,6,7,x,x,x,x,x,x,x
Damophila julie,Damophila,julie,Emeralds,x,,,,,,0,0,,,,,,,
Eupetomena macroura ,Eupetomena,macroura,Emeralds,,,,,,1,0,1,,,,,,,
Eupherusa cyanophrys,Eupherusa,cyanophrys,Emeralds,,,6,2,,,0,6,x,,,,,,
Eupherusa eximia,Eupherusa,eximia,Emeralds,,1,3,,,1,1,4,x,x,x,,,,
Hylocharis chrysura,Hylocharis,chrysura,Emeralds,,,,,,1,0,1,,,,,,,
Hylocharis cyanus,Hylocharis,cyanus,Emeralds,,,1,,,,0,1,x,,,,,,
Hylocharis eliciae,Hylocharis,eliciae,Emeralds,,3,7,,,,3,7,x,x,x,x,x,,
Hylocharis leucotis,Hylocharis,leucotis,Emeralds,,1,1,,,,1,1,x,x,x,,,,
Hylocharis xantusii,Hylocharis,xantusii,Emeralds,,3,4,,,,3,4,x,x,x,x,x,,
Lepidopyga coeruleogularis,Lepidopyga,coeruleogularis,Emeralds,,,,,,2,0,2,,,,,,,
Lepidopyga goudoti,Lepidopyga,goudoti,Emeralds,x,,,,,,0,0,,,,,,,
Leucippus leucotis,Leucippus,leucotis,Emeralds,,1,,,,,1,0,x,,,,,,
Microchera albocoronata,Microchera,albocoronata,Emeralds,,,1,,,,0,1,x,,,,,,
Phaeochroa cuvierii,Phaeochroa,cuvierii,Emeralds,,,1,,,,0,1,x,,,,,,x
Thalurania colombica,Thalurania,colombica,Emeralds,,7,4,,,1,7,5,x,x,x,x,x,,
Trochilus polytmus,Trochilus,polytmus,Emeralds,,,,,,2,0,2,,,,,,,
Eutoxeres aquila,Eutoxeres,aquila,Hermits,,2,6,1,,1,2,7,x,x,x,,,,
Glaucis aenea,Glaucis,aeneus,Hermits,,2,3,,,,2,3,x,x,x,,,,
Glaucis hirsutus,Glaucis,hirsutus,Hermits,x,,,,,1,0,1,,,,,,,
Phaethornis anthophilus,Phaethornis, anthophilus,Hermits,x,,,,,,0,0,,,,,,,
Phaethornis atrimentalis,Phaethornis,atrimentalis,Hermits,x,,,,,,0,0,,,,,,,
Phaethornis griseogularis,Phaethornis,griseogularis,Hermits,x,,,,,,0,0,,,,,,,
Phaethornis guy,Phaethornis,guy,Hermits,x,6,7,,,,6,7,x,x,x,x,x,x,x
Phaethornis hispidus,Phaethornis,hispidus,Hermits,x,,,,,,0,0,,,,,,,
Phaethornis longirostris,Phaethornis,longirostris,Hermits,x,,,,,,0,0,,,,,,,
Phaethornis longuemareus,Phaethornis,longuemareus,Hermits,,3,4,1,1,,4,4,x,x,x,x,x,,
Phaethornis malaris,Phaethornis,malaris,Hermits,,,2,,,,0,2,x,,,,,,
Phaethornis mexicanus,Phaethornis,mexicanus,Hermits,,3,1,1,,,3,1,x,x,x,,,,
Phaethornis ruber,Phaethornis,ruber,Hermits,x,,,,,1,0,1,,,,,,,
Phaethornis striigularis,Phaethornis,striigularis,Hermits,x,,,,,,0,0,,,,,,,
Phaethornis superciliosus,Phaethornis,superciliosus,Hermits,,4,4,,2,,6,4,x,x,x,x,x,,
Phaethornis yaruqui,Phaethornis,yaruqui,Hermits,x,,,,,,0,0,,,,,,,
Threnetes leucurus,Threnetes,leucurus,Hermits,x,,,,,,0,0,,,,,,,
Threnetes ruckeri,Threnetes,ruckeri,Hermits,x,,14,,,,0,14,x,,,,,,
Anthracothorax nigricollis,Anthracothorax,nigricollis,Mangoes,x,,,,,,0,0,,,,,,,
Anthracothorax prevostii,Anthracothorax,prevostii,Mangoes,,,2,,2,,2,2,x,,x,,,,
Anthracothorax viridis,Anthracothorax,viridis,Mangoes,,,2,,,,0,2,x,,,,,,
Colibri coruscans,Colibri,coruscans,Mangoes,x,,,,,,0,0,,,,,,,
Colibri cyanotus,Colibri,cyanotus,Mangoes,x,,,,,,0,0,,,,,,,
Colibri delphinae,Colibri,delphinae,Mangoes,,,,,,1,0,1,,,,,,,
Colibri thalassinus,Colibri,thalassinus,Mangoes,,,2,,,,0,2,x,,,,,,
Doryfera ludovicae,Doryfera,ludoviciae,Mangoes,x,,,,,,0,0,,,,,,,
Heliothryx barroti,Heliothryx,barroti,Mangoes,,1,,,,,1,0,x,,,,,,
Schistes geoffroyi,Schistes,geoffroyii,Mangoes,x,,,,,,0,0,,,,,,,
Eugenes fulgens,Eugenes,fulgens,Mtn_Gems,,9,8,,,1,9,9,x,x,x,x,x,x,x
Heliomaster constantii,Heliomaster,constantii,Mtn_Gems,,1,4,1,,1,1,5,x,x,x,,,,
Lampornis amethystinus,Lampornis,amethystinus,Mtn_Gems,,1,,,,,1,0,x,,,,,,
Lampornis calolaema,Lampornis,calolaemus,Mtn_Gems,,5,10,,,,5,10,x,x,x,x,x,x,x
Lampornis clemenciae,Lampornis,clemenciae,Mtn_Gems,,1,,,,,1,0,x,,,,,,
Lampornis hemileucus,Lampornis,hemileucus,Mtn_Gems,,2,,,,,2,0,x,,,,,,
Lampornis sybillae,Lampornis,sybillae,Mtn_Gems,,2,5,,,,2,5,x,x,x,,,,
Florisuga mellivora,Florisuga,mellivora,Topazes,,,,,1,1,1,1,,,x,,,,